id,name,disruption_mean,confidence
mn0000000013,Special Beat,0.24676054455570293,0.7467
mn0000000043,Special Ed,0.24346060898243005,0.7456
mn0000000207,Pam Bricker,0.24759621461620898,0.753
mn0000000335,PJ Harvey,0.011429462123087604,0.9962
mn0000000343,Symphony X,0.10025431727638438,0.8793
mn0000000359,Alexandra Scott,0.24950188097902717,0.7501
mn0000000376,Alexandre Lagoya,0.39562163498836844,0.8723
mn0000000389,Speckled Red,5.852458161540788e-5,0.5035
mn0000000429,Tonio K.,0.253867485952024,0.7513
mn0000000441,P.O.D.,9.384468142159664e-4,0.7436
mn0000000534,All Saints,-0.006874878712291363,0.9689
mn0000000584,The Sequence,0.16665584839750464,0.75
mn0000000610,Alexia,0.0020157957228087017,0.7486
mn0000000674,P.J. Proby,0.14422916564645963,0.8785
mn0000000734,Spectrum,0.001031924120988522,0.8718
mn0000000757,Specimen,-0.0013616167887521107,0.7542
mn0000000860,P.W. Long,0.25005353516483514,0.7522
mn0000001020,Alexis Korner,-0.009982745137806169,0.8736
mn0000001097,Toño Rosario,0.24986026399118771,0.7465
mn0000001098,Soundgarden,-0.003213821799622035,0.931
mn0000001113,t.A.T.u.,3.409631495588554e-5,0.4935
mn0000001163,Serge Chaloff,0.499437635879563,0.9388
mn0000001171,Christian Larde,0.25599157517934895,0.7548
mn0000001190,Syreeta,0.6243611064418028,0.9845
mn0000001241,Spearhead,-0.007136726154578149,0.9628
mn0000001266,Alla Rakha,0.4993711360695145,0.9375
mn0000001306,Sounds of Blackness,0.2526758672333085,0.7521
mn0000001418,T.I.,0.002414621131520861,0.6021
mn0000001433,Pam Tillis,0.016543722497076477,0.837
mn0000001486,T. Texas Tyler,-0.005421352531209422,0.7565
mn0000001589,György Kurtág,0.038654513628802845,0.9318
mn0000001611,Speedy,0.24908928793025886,0.7502
mn0000001867,Alfonso Johnson,0.2550974743907295,0.7556
mn0000001927,South Circle,0.003932697307560182,0.755
mn0000002130,Alfred Newman,0.6672221355832275,0.9916
mn0000002244,South Central Cartel,-0.01236943623312927,0.7519
mn0000002252,Allan Holdsworth,0.7037580322597494,0.9965
mn0000002273,Allan Sherman,0.0012460160116861808,0.5072
mn0000002314,Stamps Quartet,0.2465175908017335,0.7514
mn0000002330,Sergio Mendes,-9.922076249741234e-4,0.7156
mn0000002411,Tangerine Dream,0.015167891503353388,1
mn0000002486,Shara Nelson,0.2521871778656064,0.754
mn0000002578,Tanita Tikaram,0.24392754380622395,0.7415
mn0000002755,The Pablo All-Stars,0.39954556579906003,0.8749
mn0000002844,Alfredo Marcucci,0.24371563362519105,0.7446
mn0000002907,Split Lip,0.2523602691073466,0.7496
mn0000002954,Speedies,0.2520745690209825,0.7522
mn0000003015,Alphonse Mouzon,0.4014839596882808,0.8776
mn0000003056,P.P. Arnold,0.4071410058093475,0.8795
mn0000003069,Pablo Neruda,-0.16467564021433165,0.7447
mn0000003100,Tania Maria,-0.016083911719561108,0.9345
mn0000003160,Billy Kyle,0.3957110806972707,0.8718
mn0000003170,Pablo Cruise,0.25045656312192066,0.7496
mn0000003182,Paris,-0.007794727747706215,0.9635
mn0000003226,Alexisonfire,0.030510916691338527,0.9675
mn0000003292,Southside Johnny,0.004120251648364369,0.8752
mn0000003413,Allan Jones,0.25053733918238974,0.7492
mn0000003426,Tank,0.7019881844114175,0.9958
mn0000003544,Alhaji Bai Konte,0.4024842650329892,0.8757
mn0000003565,T-Bone,0.013947294728952264,0.7523
mn0000003595,Andrew Lloyd Webber,0.004805459856832357,0.9891
mn0000003627,Pato Banton,-0.008277250785518593,0.8725
mn0000003669,Southern Culture on the Skids,-0.002185019960368067,0.7513
mn0000003829,T-Bone Walker,0.22347441849990823,1
mn0000003952,Serge Lama,0.01541991612041804,0.7523
mn0000003981,Spencer Davis,0.6979122964841555,0.9954
mn0000004013,John McCusker,0.2521277746770592,0.7592
mn0000004141,Speedy J,0.7286227142212882,0.9977
mn0000004340,Total Science,0.24917214929673565,0.7454
mn0000004358,Tony Rebel,0.398522896498013,0.8726
mn0000004400,Alias,0.0386058006050176,0.757
mn0000004451,T.S.O.L.,0.7318173202575246,0.9981
mn0000004473,Sergio Vega,0.2500480482279396,0.7481
mn0000004558,Selah Jubilee Singers,0.26062976746568933,0.7571
mn0000004592,The Tony Rice Unit,0.2515024856164761,0.7542
mn0000004657,Tony Kinsey,0.24439692282388084,0.7408
mn0000004685,Selah,0.25875139538341824,0.7622
mn0000004747,Southside Johnny & the Asbury Jukes,0.2524628440166211,0.7593
