,ni,nj,nk,disruption,name,confidence
mn0003013627,2.0,0.0,75.0,0.025974025974025976,Daughter,0.6747
mn0000206668,1.0,0.0,304.0,0.003278688524590164,Des'ree,0.591
mn0000622805,236.0,56.0,1566.0,0.0968783638320775,Stevie Wonder,1.0
mn0000576718,4.0,4.0,1986.0,0.0,Seal,0.4939
mn0000302106,5.0,3.0,612.0,0.0032258064516129032,Lisa Stansfield,0.6572
mn0000855953,6.0,0.0,46.0,0.11538461538461539,Prodigy,0.8895
mn0000389137,37.0,10.0,119.0,0.16265060240963855,Rakim,0.9996
mn0000460953,13.0,2.0,153.0,0.06547619047619048,Regis,0.9735
mn0000147282,6.0,11.0,901.0,-0.0054466230936819175,D.A.F.,0.8005
mn0000926604,58.0,38.0,1535.0,0.012262415695892091,Throbbing Gristle,0.9677
mn0000387765,3.0,8.0,442.0,-0.011037527593818985,Renegade Soundwave,0.8153
mn0000635413,17.0,64.0,1705.0,-0.02631578947368421,Cabaret Voltaire,1.0
mn0000475738,3.0,1.0,406.0,0.004878048780487805,Odds,0.6691
mn0000052749,3.0,0.0,742.0,0.004026845637583893,The Blood Oranges,0.7364
mn0000751613,6.0,4.0,160.0,0.011764705882352941,Andrea Bocelli,0.6534
mn0000102985,13.0,2.0,546.0,0.0196078431372549,Julio Iglesias,0.9721
mn0000018977,4.0,8.0,1867.0,-0.0021287919105907396,Barry Manilow,0.757
mn0000228714,11.0,2.0,5.0,0.5,Mario Lanza,0.9461
mn0000851639,7.0,3.0,9.0,0.21052631578947367,Plácido Domingo,0.7761
mn0000230667,3.0,0.0,976.0,0.0030643513789581204,Zucchero,0.7442
mn0000006334,4.0,30.0,935.0,-0.026831785345717233,Tony Bennett,0.9999
mn0000579458,7.0,4.0,16.0,0.1111111111111111,Luciano Pavarotti,0.7039
mn0000792507,71.0,39.0,549.0,0.048558421851289835,Frank Sinatra,0.9982
mn0000047421,2.0,0.0,263.0,0.007547169811320755,The Blues Brothers,0.6661
mn0000170454,3.0,4.0,371.0,-0.0026455026455026454,Carla Thomas,0.573
mn0000282709,20.0,15.0,586.0,0.008051529790660225,Sam & Dave,0.7547
mn0000107877,2.0,4.0,584.0,-0.003389830508474576,James Carr,0.663
mn0000227675,1.0,0.0,215.0,0.004629629629629629,Walter Jackson,0.5957
